,Fecha,Muertes
10,2021-09-01,318.45635986328125
11,2021-09-02,302.3584289550781
12,2021-09-03,290.72528076171875
13,2021-09-04,274.88482666015625
14,2021-09-05,265.99542236328125
15,2021-09-06,261.85552978515625
16,2021-09-07,243.82363891601562
17,2021-09-08,232.61363220214844
18,2021-09-09,223.57960510253906
19,2021-09-10,224.3039093017578
20,2021-09-11,206.53387451171875
21,2021-09-12,191.39913940429688
22,2021-09-13,186.81903076171875
23,2021-09-14,176.11953735351562
24,2021-09-15,172.2054443359375
25,2021-09-16,160.14892578125
26,2021-09-17,161.4143524169922
27,2021-09-18,154.2768096923828
28,2021-09-19,146.58932495117188
29,2021-09-20,143.22898864746094
30,2021-09-21,130.19998168945312
31,2021-09-22,126.67967224121094
32,2021-09-23,118.24073791503906
33,2021-09-24,119.25199890136719
34,2021-09-25,108.31524658203125
35,2021-09-26,106.08332061767578
36,2021-09-27,102.23754119873047
37,2021-09-28,98.50890350341797
38,2021-09-29,93.91775512695312
39,2021-09-30,88.90773010253906
