,fecha,muertes
0,2021-08-26,111.56312561035156
1,2021-08-27,110.66242980957031
2,2021-08-28,100.31645965576172
3,2021-08-29,97.94982147216797
4,2021-08-30,95.61414337158203
5,2021-08-31,94.82890319824219
6,2021-09-01,92.55453491210938
7,2021-09-02,86.4295883178711
8,2021-09-03,84.14525604248047
9,2021-09-04,85.43834686279297
10,2021-09-05,81.38917541503906
11,2021-09-06,78.34327697753906
12,2021-09-07,78.74201202392578
13,2021-09-08,73.74077606201172
14,2021-09-09,73.1500473022461
15,2021-09-10,70.98382568359375
16,2021-09-11,68.3326644897461
17,2021-09-12,66.74410247802734
18,2021-09-13,62.97062683105469
19,2021-09-14,61.882076263427734
20,2021-09-15,61.30095672607422
21,2021-09-16,58.5644645690918
22,2021-09-17,56.400577545166016
23,2021-09-18,54.80895233154297
24,2021-09-19,52.95391845703125
25,2021-09-20,52.077728271484375
26,2021-09-21,50.301700592041016
27,2021-09-22,48.53490447998047
28,2021-09-23,47.416141510009766
29,2021-09-24,45.48333740234375
30,2021-09-25,44.68052673339844
31,2021-09-26,43.56262969970703
32,2021-09-27,41.47287368774414
33,2021-09-28,40.33767318725586
34,2021-09-29,39.240482330322266
35,2021-09-30,38.26148986816406
