,Fecha,Muertes_N07,Muertes_N30
10,2021-09-01,41.232723236083984,279.7242431640625
11,2021-09-02,49.22294616699219,279.7242431640625
12,2021-09-03,53.72514343261719,279.7242431640625
13,2021-09-04,55.80012130737305,279.7242431640625
14,2021-09-05,63.65793991088867,279.7242431640625
15,2021-09-06,85.26121520996094,279.6827697753906
16,2021-09-07,102.57411193847656,279.7242431640625
17,2021-09-08,106.83828735351562,195.72019958496094
18,2021-09-09,104.14078521728516,169.21656799316406
19,2021-09-10,130.77685546875,169.21656799316406
20,2021-09-11,151.1566619873047,169.2164764404297
21,2021-09-12,169.2140350341797,169.2149658203125
22,2021-09-13,172.06370544433594,75.56655883789062
23,2021-09-14,217.38587951660156,75.5665512084961
24,2021-09-15,253.269287109375,75.5665512084961
25,2021-09-16,245.45138549804688,75.55101776123047
26,2021-09-17,236.04298400878906,75.56584167480469
27,2021-09-18,326.364990234375,75.51982879638672
28,2021-09-19,363.5184631347656,72.90473937988281
29,2021-09-20,257.08642578125,163.36888122558594
30,2021-09-21,189.64141845703125,159.5975799560547
31,2021-09-22,268.3025207519531,135.9187469482422
32,2021-09-23,179.9317169189453,162.6934051513672
33,2021-09-24,162.8988037109375,163.97303771972656
34,2021-09-25,147.11497497558594,132.3371124267578
35,2021-09-26,269.0855712890625,169.18231201171875
36,2021-09-27,145.6181640625,166.03814697265625
37,2021-09-28,322.1291809082031,75.53287506103516
38,2021-09-29,99.03461456298828,75.5667724609375
39,2021-09-30,271.194091796875,73.05862426757812
