training parameters,batches,layer,optimization function,window size considered
"1,527,937",50 epochs,14,relu,7
predicciones
91
88
86
84
82
80
78
76
74
72
70
68
66
64
62
61
59
57
56
54
53
51
50
49
48
47
46
45
44
