,Nuevas muertes Septiembre
0,122
1,122
2,120
3,121
4,118
5,118
6,117
7,116
8,115
9,113
10,113
11,112
12,111
13,110
14,109
15,109
16,108
17,107
18,106
19,105
20,104
21,103
22,102
23,101
24,100
25,99
26,98
27,97
28,96
29,95
30,94
31,93
32,92
