,Fechas,Fallecidos
0,2021-09-01,105.53010559082031
1,2021-09-02,96.7911605834961
2,2021-09-03,90.47185516357422
3,2021-09-04,83.32510375976562
4,2021-09-05,73.91594696044922
5,2021-09-06,65.18824005126953
6,2021-09-07,58.961395263671875
7,2021-09-08,54.24580001831055
8,2021-09-09,50.214569091796875
9,2021-09-10,46.11384201049805
10,2021-09-11,41.76953125
11,2021-09-12,37.67748260498047
12,2021-09-13,34.36884307861328
13,2021-09-14,31.694591522216797
14,2021-09-15,29.352975845336914
15,2021-09-16,27.16361427307129
16,2021-09-17,25.043365478515625
17,2021-09-18,23.06138801574707
18,2021-09-19,21.355907440185547
19,2021-09-20,19.910091400146484
20,2021-09-21,18.634891510009766
21,2021-09-22,17.476457595825195
22,2021-09-23,16.41231918334961
23,2021-09-24,15.525551795959473
24,2021-09-25,14.776888847351074
25,2021-09-26,14.111888885498047
26,2021-09-27,13.542549133300781
27,2021-09-28,13.079463005065918
28,2021-09-29,12.687108993530273
29,2021-09-30,12.364869117736816
