,Fecha,Muertes
10,2021-09-01,190.1929931640625
11,2021-09-02,184.64117431640625
12,2021-09-03,172.08815002441406
13,2021-09-04,172.32911682128906
14,2021-09-05,162.9112548828125
15,2021-09-06,157.9529571533203
16,2021-09-07,129.985107421875
17,2021-09-08,144.6028289794922
18,2021-09-09,144.64373779296875
19,2021-09-10,141.7397003173828
20,2021-09-11,132.60972595214844
21,2021-09-12,135.34844970703125
22,2021-09-13,123.7052993774414
23,2021-09-14,123.70915222167969
24,2021-09-15,122.36097717285156
25,2021-09-16,113.82197570800781
26,2021-09-17,114.86796569824219
27,2021-09-18,109.04541778564453
28,2021-09-19,109.05406951904297
29,2021-09-20,103.92208862304688
30,2021-09-21,100.4149169921875
31,2021-09-22,96.3316650390625
32,2021-09-23,94.16178131103516
33,2021-09-24,91.2142105102539
34,2021-09-25,89.57556915283203
35,2021-09-26,85.54708099365234
36,2021-09-27,83.23381805419922
37,2021-09-28,82.3470687866211
38,2021-09-29,77.47013092041016
39,2021-09-30,77.3846664428711
